Cafe Name,Location,Open,Close,Coffee,Wifi,Power
Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,☕☕☕☕️,💪💪,🔌🔌🔌
Esters,https://goo.gl/maps/13Tjc36HuPWLELaSA,8AM,3PM,☕☕☕☕,💪💪💪,🔌
Ginger & White,https://goo.gl/maps/DqMx2g5LiAqv3pJQ9,7:30AM,5:30PM,☕☕☕,✘,🔌
Mare Street Market,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,8AM,1PM,☕☕,💪💪💪,🔌🔌🔌Cafe Grande,https://wtforms.readthedocs.io/en/2.3.x/validators/,5:00 AM,5:00 PM,1,1,1
"
Cafe Chico",https://wtforms.readthedocs.io/en/2.3.x/validators/,5:00 AM,5:00 PM,4,2,1
"
Cafe Chico 2",https://wtforms.readthedocs.io/en/2.3.x/validators/,5:00 AM,5:00 PM,3,2,5

Cafe Chico 3,https://wtforms.readthedocs.io/en/2.3.x/validators/,5:00 AM,5:00 PM,4,1,4
Cafe Solo,https://wtforms.readthedocs.io/en/2.3.x/validators/,5:00 AM,5:00 PM,2,1,5
Cafe Brian,https://wtforms.readthedocs.io/en/2.3.x/validators/,5:00 AM,5:00 PM,☕️,🛜🛜,🔌🔌
